0.90 ,9,-164.000,-12.848
0.90 ,10,-162.000,-13.264
0.90 ,11,-160.000,-13.608
0.90 ,12,-158.000,-13.828
0.90 ,13,-156.000,-13.888
0.90 ,14,-154.000,-13.783
0.90 ,15,-152.000,-13.543
0.90 ,16,-150.000,-13.220
0.90 ,17,-148.000,-12.872
0.90 ,18,-146.000,-12.550
0.90 ,19,-144.000,-12.293
0.90 ,20,-142.000,-12.132
0.90 ,21,-140.000,-12.089
0.90 ,22,-138.000,-12.180
0.90 ,23,-136.000,-12.423
0.90 ,24,-134.000,-12.834
0.90 ,25,-132.000,-13.432
0.90 ,26,-130.000,-14.242
0.90 ,27,-128.000,-15.292
0.90 ,28,-126.000,-16.616
0.90 ,29,-124.000,-18.240
0.90 ,30,-122.000,-20.137
0.90 ,31,-120.000,-22.074
0.90 ,32,-118.000,-23.332
0.90 ,33,-116.000,-23.113
0.90 ,34,-114.000,-21.811
0.90 ,35,-112.000,-20.323
0.90 ,36,-110.000,-19.067
0.90 ,37,-108.000,-18.136
0.90 ,38,-106.000,-17.528
0.90 ,39,-104.000,-17.228
0.90 ,40,-102.000,-17.231
0.90 ,41,-100.000,-17.550
0.90 ,42,-98.000,-18.221
0.90 ,43,-96.000,-19.318
0.90 ,44,-94.000,-20.988
0.90 ,45,-92.000,-23.544
0.90 ,46,-90.000,-27.816
0.90 ,47,-88.000,-37.621
0.90 ,48,-86.000,-34.621
0.90 ,49,-84.000,-26.327
0.90 ,50,-82.000,-22.176
0.90 ,51,-80.000,-19.486
0.90 ,52,-78.000,-17.571
0.90 ,53,-76.000,-16.146
0.90 ,54,-74.000,-15.060
0.90 ,55,-72.000,-14.218
0.90 ,56,-70.000,-13.545
0.90 ,57,-68.000,-12.983
0.90 ,58,-66.000,-12.475
0.90 ,59,-64.000,-11.974
0.90 ,60,-62.000,-11.440
0.90 ,61,-60.000,-10.850
0.90 ,62,-58.000,-10.199
0.90 ,63,-56.000,-9.496
0.90 ,64,-54.000,-8.764
0.90 ,65,-52.000,-8.027
0.90 ,66,-50.000,-7.307
